사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
1,2023.1.1 1:08,2023.1.1 1:11,2023.1.1 1:11,2023.1.1 1:11,2023.1.1 1:11,0:03,0:00,0:00,0:00,서울특별시,광진구,127.0794502,37.57126473,기타 수난 ,119특수구조단,광나루수난구조대,자체처리,겨울
2,2023.1.1 1:25,2023.1.1 1:26,2023.1.1 1:30,2023.1.1 2:05,2023.1.1 2:10,0:01,0:04,0:35,0:05,서울특별시,마포구,126.9087781,37.54726102,기타 수난 ,마포소방서,구조대,타기관 인계,겨울
3,2023.1.1 2:43,2023.1.1 2:44,2023.1.1 2:50,2023.1.1 2:58,2023.1.1 3:07,0:01,0:06,0:08,0:09,서울특별시,영등포구,126.9350806,37.52845845,수색,영등포소방서,구조대,타기관 인계,겨울
4,2023.1.1 6:48,2023.1.1 6:50,2023.1.1 6:56,2023.1.1 7:09,2023.1.1 7:15,0:02,0:06,0:13,0:06,서울특별시,서초구,126.9816981,37.50575778,수색,용산소방서,서빙고119안전센터,오인신고,겨울
5,2023.1.1 6:48,2023.1.1 6:50,2023.1.1 6:51,2023.1.1 7:08,2023.1.1 7:10,0:02,0:01,0:17,0:02,서울특별시,서초구,126.9816981,37.50575778,기타 수난 ,119특수구조단,반포수난구조대,자체처리,겨울
6,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:15,2023.1.1 16:27,0:01,0:09,0:08,0:12,서울특별시,송파구,127.094521,37.52109306,익수,강동소방서,구조대,타기관 인계,겨울
7,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:35,2023.1.1 16:48,0:01,0:09,0:28,0:13,서울특별시,송파구,127.094521,37.52109306,익수,송파소방서,구조대,인명검색,겨울
8,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:15,2023.1.1 16:25,0:01,0:09,0:08,0:10,서울특별시,송파구,127.094521,37.52109306,기타 수난 ,119특수구조단,뚝섬수난구조대,기타안전조치,겨울
9,2023.1.1 15:57,2023.1.1 15:58,2023.1.1 16:07,2023.1.1 16:13,2023.1.1 16:30,0:01,0:09,0:06,0:17,서울특별시,송파구,127.094521,37.52109306,기타 수난 ,119특수구조단,광나루수난구조대,기타안전조치,겨울
10,2023.1.2 3:15,2023.1.2 3:16,2023.1.2 3:21,2023.1.2 3:32,2023.1.2 3:47,0:01,0:05,0:11,0:15,서울특별시,영등포구,126.9023447,37.54223041,기타 수난 ,영등포소방서,구조대,인명검색,겨울
